Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
58 100.00 1211.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
59 100.00 1209.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
60 100.00 1207.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
61 100.00 1205.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
62 100.00 1203.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
63 100.00 1170.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
64 100.00 1650.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
65 100.00 1625.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
66 100.00 1600.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
67 100.00 1575.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
68 100.00 1550.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
69 100.00 1525.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
70 100.00 1500.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
71 100.00 1475.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
72 100.00 1450.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
73 100.00 1425.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
74 100.00 1400.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
75 100.00 1375.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
76 100.00 1350.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
77 100.00 1325.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
78 100.00 1300.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
79 100.00 1275.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
80 100.00 1250.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
81 100.00 1225.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
82 100.00 1200.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
83 100.00 1225.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
84 100.00 1223.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
85 100.00 1221.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
86 100.00 1219.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
87 100.00 1217.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
88 100.00 1215.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
89 100.00 1213.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
90 100.00 1211.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
91 100.00 1209.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
92 100.00 1207.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
93 100.00 1205.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
94 100.00 1203.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
95 100.00 1170.00 100.050000 49.7151 1.5992 15.7621 1.92281 0 9.61142 0.169915 7.73613 0 0 8.82559 3.63818 0.489755 0.27986 0.249875 0
